address,postalCode,latitude,longitude,lowestMonthlyRate,coveredParking,busNearby,distanceFromCenter,usage,rangePointFive,rangeOnePointZero,rangeOnePointFive,rangeTwoPointZero,hourlyRate
310 York Avenue,R3C 0N7,49.88888511,-97.14122908,182.8192105,1,0,0.716690897,1,50.88732093,50.5700258,50.44962936,51.01212413,4
80 Carlton Street,R3C 1N4,49.8885899,-97.1436711,30,0,1,0.812499119,0,50.83386109,50.57613169,50.43582807,51.00444069,2.5
765 Portage Avenue,R3M 0N7,49.8878073,-97.1637994,182.8192105,0,1,1.987655503,1,50.84423808,50.58359362,50.4586056,51.03658217,4
115 Smith Street,R3C 1J5,49.8885243,-97.1392194,182.8192105,1,0,0.730703234,0,50.7721202,50.57751749,50.43890866,51.02115055,2.5
225 Broadway,R3C 0R9,49.8885944,-97.1366368,182.8192105,0,0,0.732454061,0,50.70422535,50.57202707,50.41962556,51.00349938,3
119 Donald Street,R3C 1M1,49.8879988,-97.1403984,225.5,0,0,0.799327591,1,50.65627564,50.57425427,50.40078996,50.99118381,4
116 Smith St.,R3C 1J6,49.887986,-97.1389611,205,0,0,0.789329509,0,50.60950833,50.57271506,50.38233772,50.9766315,4
325 Broadway,R3C 4T4,49.8876879,-97.1410704,210,1,0,0.842785062,0,50.56315366,50.5749824,50.37003302,50.96480704,4
363 Broadway,R3C 3N9,49.8872879,-97.143497,275,0,0,0.938514502,0,50.55776892,50.56197194,50.36648624,50.95563478,4
71 Donald Street,R3C 0R8,49.88702167,-97.13975436,200,0,0,0.900564993,1,50.49426651,50.53076923,50.35460993,50.93941624,4
374 Broadway,R3C 0T6,49.8866214,-97.1441612,60,0,0,1.025350702,1,50.50920486,50.48854962,50.35135285,50.92826594,4.5
64 Donald Street,R3C 1L6,49.886408,-97.1397,205,0,0,0.968092473,0,50.42818217,50.44717296,50.34535687,50.91259331,3
333 Broadway Avenue,R3C 4W3,49.884769,-97.1405648,182.8192105,0,1,1.156156985,1,50.3875969,50.41440627,50.35063876,50.89728904,2.5
43 Marion Street,R2H 0S8,49.8816476,-97.1268727,182.8192105,0,1,1.708191653,0,50.37783375,50.410608,50.32261563,50.88726514,2
130 Osborne Street,R3L 1Y5,49.87847692,-97.14492781,125,0,0,1.903274759,0,50.36807439,50.39903629,50.31613078,50.87711025,2
406 NOTRE DAME AVENUE,R3B 1R1,49.8978551,-97.1483707,99,0,1,0.774779717,0,50.46189376,50.42499254,50.32088993,50.88309504,4
329 Cumberland Avenue,R3B 1T2,49.896204,-97.1456465,220,0,0,0.530427819,0,50.51448171,50.43824114,50.32555185,50.88661512,4
365 Hargrave Street,R3B 2K2,49.8953477,-97.1456897,150,1,0,0.519383838,0,50.56646526,50.42542361,50.33011947,50.89007157,4
318 Notre Dame,R3B 1P5,49.8966883,-97.1447471,175,0,0,0.485272618,1,50.63480209,50.42403335,50.33459563,50.89578028,3
344 EDMONTON STREET,R3B 2L4,49.8943327,-97.1484933,142.86,0,0,0.724086775,0,50.69534582,50.43360819,50.34153356,50.8968812,4
315 Cumberland Avenue,R3B 1T2,49.8956401,-97.1445789,182.8192105,1,0,0.443385869,1,50.70525737,50.41786642,50.34837004,50.90015635,4
337 McDermot Avenue,R3A 0A3,49.89847413,-97.14434438,220,0,0,0.566467275,0,50.75276619,50.42758812,50.35003777,50.90562863,5
366 Smith Street,R3B 2H2,49.8964029,-97.1435806,165,0,0,0.395906922,1,50.76178527,50.42952374,50.35666184,50.90877162,4
330 Donald Street,R3B 2H7,49.89481711,-97.14435674,198,0,0,0.42401868,1,50.80573756,50.40738729,50.36070758,50.90964485,4
330 Smith Street,R3B 2H1,49.8952705,-97.1429158,90,1,0,0.320538562,1,50.81279497,50.39253842,50.36467766,50.91050315,3.5
351 SMITH STREET,R3B 1X6,49.8953543,-97.1429233,203.5,0,0,0.321833059,1,50.81995512,50.37803422,50.3685742,50.91134691,3
85 Princess Street,R3B 1K6,49.89771404,-97.14222175,182.8192105,0,1,0.398662464,1,50.89697591,50.38749507,50.37478378,50.91649695,3.5
35 King Street,R3B 1H4,49.8961785,-97.1420743,165,0,0,0.286985467,0,50.90325848,50.3637781,50.37851735,50.91727678,3
21 Arthur Street,R3B 1H1,49.8960303,-97.1419968,242,0,0,0.275217999,1,50.92577148,50.34376406,50.38218364,50.91804373,4
50 Arthur Street,R3B 1G7,49.8960415,-97.1420294,182.8192105,1,0,0.277852733,1,50.94775012,50.32418002,50.38578443,50.91879811,5
51 Arthur Street,R3B 1H1,49.8960303,-97.1419968,182.8192105,1,0,0.275217999,1,50.96921323,50.30501226,50.38932147,50.91954023,4
100 King Street,R3B 1H8,49.8981276,-97.1415202,195,0,1,0.404221002,1,51.02270897,50.31795511,50.39279643,50.92441766,5
127 Princess Street,R3B 1K8,49.89909503,-97.14135603,215,0,0,0.492862926,0,51.07535447,50.30936765,50.39391593,50.92723526,3
116 King Street,R3B 1H6,49.8983069,-97.1410159,231,0,0,0.403410913,1,51.1261616,50.31292183,50.39281199,50.93000882,2
60 Albert Street,R3B 1E7,49.89647568,-97.14054788,182.8192105,0,1,0.216212822,1,51.14361288,50.30984204,50.39394753,50.93266516,4
35 Albert Street,R3B1G3,49.8956117,-97.1406693,175,0,0,0.169656547,0,51.16028892,50.29767274,50.39506392,50.93327019,4
348 ELGIN AVENUE,R3A 0K6,49.9011587,-97.1429036,185,0,0,0.747683842,0,51.10941086,50.29875717,50.40732749,50.93393899,4
266 Hargrave Street,R3C 1N6,49.892276,-97.144361,200,0,0,0.525575762,1,51.18003026,50.29288208,50.40831477,50.93071154,2
211 Bannatyne Avenue,R3B 1B7,49.8979426,-97.1397126,245,0,0,0.331206376,0,51.19688809,50.29061234,50.40713791,50.9333539,6
450 - 456 MAIN STREET,R3B 1B7,49.8974082,-97.1393091,121,0,0,0.266405111,0,51.21337674,50.28817605,50.40598015,50.93400704,4
266 Smith Street,R3C 1K1,49.8928767,-97.1416036,225.5,0,0,0.332953087,0,51.27155802,50.27668896,50.40061371,50.93085106,0.04
251 Donald Street,R3C 3P5,49.8920339,-97.1425145,182.8192105,0,0,0.446348285,0,51.28427128,50.27403517,50.39533212,50.92774174,0.04
416 Main Street,R3B 1A9,49.8963635,-97.1388376,240,0,0,0.145707929,1,51.28314799,50.26592735,50.3942953,50.92658455,4
189 Bannatyne Avenue,R3B 0R4,49.8979446,-97.138852,182.8192105,0,1,0.320153637,1,51.29833474,50.26395597,50.39327479,50.92916078,0.04
180 Bannatyne Avenue,R3B 0R5,49.8979209,-97.1388508,225,1,0,0.317521269,0,51.31321598,50.2620136,50.39227021,50.93169994,0.04
265 Smith Street,R3C1K9,49.8925407,-97.1413929,225.5,0,0,0.352060848,0,51.33977901,50.24850895,50.38721573,50.92867348,3
201 Princess Street,R3B 3E9,49.900911,-97.1404361,205,0,1,0.664110592,1,51.30530365,50.24154589,50.39459767,50.92932747,3
240 Kennedy Street,R3C 3T1,49.8904522,-97.1476699,190,1,0,0.836999579,0,51.31704654,50.24238793,50.39169763,50.92636065,3
233 Vaughan Street,R3C 1T1,49.8902075,-97.1489337,182.8192105,0,0,0.925777266,1,51.35795763,50.25416396,50.38887107,50.92343554,2.5
235 Edmonton Street,R3C 1P7,49.89046379,-97.14587536,210,1,0,0.738907245,1,51.32731438,50.25478732,50.38401846,50.92055126,4
233 KENNEDY STREET,R3C 1T1,49.8902816,-97.1472532,175,0,0,0.825776163,1,51.3112122,50.25550942,50.37929672,50.91770697,2.5
245 Main Street,R3C 1A7,49.8951185,-97.1383776,220,0,0,0.006995546,1,51.32310135,50.24006754,50.37455387,50.91662569,4
245 Main Street,R3C 1A7,49.8951185,-97.1383776,220,1,0,0.006995546,0,51.33472913,50.2248954,50.36988008,50.91555928,2.5
280 Fort Street,R3C 1E5,49.893565,-97.139029,264,0,0,0.173149693,0,51.32090132,50.21768425,50.36335524,50.91450741,4
215 Hargrave Street,R3C 1N6,49.890812,-97.143305,225,0,0,0.588057838,0,51.30278527,50.2184753,50.35499098,50.9117809,2.5
190 Edmonton Street,R3C 3J2,49.8898359,-97.1458864,220,0,0,0.789514186,1,51.26178945,50.21943254,50.34874414,50.90909091,3
180 Kennedy Street,R3C 1T1,49.8895459,-97.1471919,160,0,0,0.8776834,0,51.26029132,50.23060159,50.34448819,50.90643672,4
350 St Mary Avenue,R3C 3J2,49.890138,-97.144015,258.5,0,0,0.678580868,1,51.25628141,50.23634718,50.33832043,50.90553438,4
240 GRAHAM AVENUE,R3C 0J7,49.8927085,-97.1390798,182.8192105,0,1,0.267189146,1,51.21981578,50.22940355,50.33223832,50.90464384,4
425 St Mary Avenue,R3C 0N2,49.8893997,-97.1480074,190,0,1,0.931214486,1,51.23128326,50.2353699,50.32820323,50.90207043,4
231 Princess Street,R3B 1L6,49.902028,-97.1395968,100,0,0,0.777260746,0,51.19003576,50.23918726,50.34660767,50.90283749,4
164 Bannatyne Avenue,R3B 0R5,49.8976105,-97.1367828,269.5,0,0,0.30600645,1,51.18071699,50.23276327,50.34063439,50.9019814,4.5
207 Donald Street,R3C 1M5,49.8906709,-97.1416824,182.8192105,1,0,0.54186636,0,51.11569246,50.22851031,50.33102947,50.90113622,3
400 St Mary Ave,R3C 4K5,49.88923315,-97.14648479,230,0,0,0.86801419,0,51.1151296,50.23909578,50.32530904,50.90030172,2.5
287 Alexander St,R3B 1L6,49.9024843,-97.1391877,95,0,1,0.825342644,1,51.07636801,50.24765569,50.34157917,50.90106064,2
303 MAIN STREET,R3C 3G7,49.8940848,-97.1369814,161.9,0,1,0.152492052,0,51.06738223,50.23375632,50.33219031,50.89866402,2
274 Osborne Street North,R3C 0N4,49.8886799,-97.1501619,115,0,1,1.099891114,1,51.1105832,50.23734928,50.33201946,50.89623993,4
225 Fort Street,R3C 1E2,49.89241233,-97.13800371,220,0,0,0.298025122,1,51.08938876,50.23790456,50.32278548,50.89390248,4
190 Donald Street,R3C 1N6,49.889976,-97.141599,190,0,0,0.610388716,0,51.02779724,50.24091313,50.31367189,50.89159355,4
171 DONALD,R3C 1M4,49.8899227,-97.1412597,182.8192105,0,0,0.60742207,0,50.96721881,50.24387978,50.30467635,50.88931262,3
208 Fort Street,R3C 1E4,49.8914849,-97.13792,175,0,0,0.401230361,1,50.89152191,50.24212517,50.29579657,50.88553318,4
189 Rupert Avenue,R3B 0N3,49.9002501,-97.1356634,215,0,0,0.608890545,0,50.86414101,50.24090304,50.29754738,50.8863496,4
257 King Street,R3B 1J6,49.9024994,-97.1375158,95,0,1,0.828046953,1,50.82772006,50.24900626,50.30471104,50.8856485,5
170 William Stephenson Way,R3C 0J2,49.8934405,-97.1358243,165,0,0,0.261754965,0,50.81222311,50.23587045,50.29428776,50.88195801,4
90 Market Avenue,R3B 0P3,49.898173,-97.1348225,215,0,0,0.43135171,1,50.79670019,50.23008211,50.28579159,50.88129114,4
116 Market Avenue,R3B 0P4,49.89819948,-97.1348275,240,1,0,0.433490713,0,50.78133783,50.2243561,50.27739484,50.88063212,3.5
80 Carlton Street,R3C 1N4,49.8885899,-97.1436711,30,0,1,0.812499119,1,50.75376884,50.22971587,50.27074002,50.87703517,3
141 James Avenue,R3B 0N8,49.89934837,-97.13483466,215,0,0,0.54099724,0,50.72769692,50.22411574,50.26423372,50.87640851,3.5
115 Bannatyne,R3B 0R3,49.89715858,-97.13440919,182.8192105,0,0,0.370662738,1,50.71278594,50.20962973,50.25939266,50.87584101,3
1 Portage Avenue East,R3B 3N3,49.89455796,-97.13469477,150,0,0,0.27518277,0,50.70886911,50.19948266,50.2529234,50.8723329,4
120 Pioneer Avenue,R3C 0J2,49.893674,-97.1349618,225.5,0,0,0.294629541,0,50.68373263,50.18943518,50.24323354,50.86886447,5
310 York Avenue,R3C 0N7,49.88888511,-97.14122908,182.8192105,1,0,0.716690897,0,50.64610707,50.19701234,50.23369036,50.86543505,4
219 Main Street,R3C 1A7,49.89208102,-97.13609554,182.8192105,0,0,0.373430035,1,50.56713838,50.19140608,50.22422971,50.86062011,5
170 Fort Street,R3C 1C9,49.8907378,-97.1375166,175,0,0,0.48711767,0,50.49919485,50.1965644,50.21486755,50.85727459,3
155 Garry Street,R3C1G7,49.8898359,-97.1384954,175,0,0,0.582792409,1,50.40008535,50.20382166,50.20561701,50.85396607,2
211 Main Street,R3C 1A7,49.89158,-97.1357699,200,0,1,0.43369192,0,50.32367611,50.19827877,50.19648856,50.84929321,4
116 Edmonton St.,R3C 1R4,49.88735,-97.1449,182.8192105,0,1,0.975529649,1,50.33252402,50.19728005,50.19703036,50.8446712,4
90 James Avenue,R3B 0N7,49.8985501,-97.1332194,215,1,0,0.53811287,0,50.32088375,50.19217914,50.18815855,50.84148507,4
1 Lombard Avenue,R3B 3N3,49.89510782,-97.13318315,231,0,0,0.377354633,0,50.30912711,50.17861593,50.18400699,50.83975887,2
363 Broadway,R3C 3N9,49.8872879,-97.143497,275,0,0,0.938514502,0,50.30758002,50.17361111,50.18303655,50.83526229,6
650 Main,R3B 1E2,49.9031862,-97.1357189,130,0,1,0.92269124,0,50.29659694,50.1833766,50.18231259,50.83354137,4
115 Smith Street,R3C 1J5,49.8885243,-97.1392194,182.8192105,1,0,0.730703234,0,50.2638932,50.18241443,50.17362712,50.82641207,0.04
119 Donald Street,R3C 1M1,49.8879988,-97.1403984,225.5,0,0,0.799327591,1,50.24199362,50.18555524,50.16504676,50.82070707,0.04
325 Broadway,R3C 4T4,49.8876879,-97.1410704,210,1,0,0.842785062,0,50.22026432,50.18867925,50.15961813,50.81506157,4
374 Broadway,R3C 0T6,49.8866214,-97.1441612,60,0,0,1.025350702,0,50.22938118,50.16771065,50.15881659,50.80947466,0.04
116 Smith St.,R3C 1J6,49.887986,-97.1389611,205,0,0,0.789329509,1,50.20801624,50.16890533,50.15044834,50.80261593,0.04
160 Alexander Avenue,R3B 0L3,49.9002058,-97.1321645,145,0,1,0.726630446,0,50.2075529,50.16826923,50.14830572,50.80116142,3
225 Broadway,R3C 0R9,49.8885944,-97.1366368,182.8192105,0,0,0.732454061,0,50.17653586,50.16747747,50.14006437,50.79309884,3
71 Donald Street,R3C 0R8,49.88702167,-97.13975436,200,0,0,0.900564993,0,50.145714,50.15291735,50.13490675,50.78511737,3
55 Duncan Street,R3B 0Y5,49.9006,-97.1314649,125,1,0,0.792177444,1,50.13539264,50.14451439,50.1269785,50.78385679,2.5
64 Donald Street,R3C 1L6,49.886408,-97.1397,205,0,0,0.968092473,0,50.09497151,50.12425545,50.12487879,50.77600063,4
