propertyGuid,zoneGuid,propertyName,zoneName,address,postalCode,latitude,longitude,coveredParking,electricCharger,blockHeater,rating,reservationCount,reservedHours,spotCount
50A07FC3-E893-41BF-8A7C-442B302BD2F2,0B886FF8-CFC5-4EBB-9222-2B07D83F6A52,105 Galt Ave., 105 Galt Ave. - Uncovered,"105 Galt Avenue, Winnipeg, MB, Canada, Winnipeg",R3B 0L1,49.90078,-97.131724,FALSE,FALSE,FALSE,5,1,3,4
A8FAFB41-1BB9-409D-AC0C-5CDD0D67AFF1,4F343E02-1045-48B6-A0AA-F8573476D681,114 Juno St. ,114 Juno St. - Uncovered,"114 Juno Street, Winnipeg, MB, Canada, Winnipeg",R3A,49.90203,-97.151408,FALSE,FALSE,FALSE,0,1,3,9
2F3B6B95-7E75-496A-AA1A-61E68007CC8B,CF5EEEE1-BB5A-4DFC-98FE-AAEE13A375F8,115 Bannatyne Ave. ,115 Bannatyne Ave. - Uncovered,"115 Bannatyne Avenue, Winnipeg, MB, Canada, Winnipeg",R3B 0R3,49.897359,-97.134664,FALSE,FALSE,FALSE,4,19,65,5
3B6FAE6D-A305-4D5B-93F9-A81E7FA5C08D,8BB98C37-7A43-4E48-ACE3-C1183315EFD2,126 Bryce Street,126 Bryce St. - Uncovered,"126 Bryce Street, Winnipeg, MB, Canada, Winnipeg",R3L 1X4,49.879304,-97.142148,FALSE,FALSE,FALSE,0,0,0,8
6B8A9622-8564-442A-9299-F7371DC82B08,CDAEB416-2B90-4223-87CD-679B9EB8BE5B,1275/1295 Portage Ave,1275/1295 Portage Ave - Uncovered,"1275 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3G 0T8,49.883307,-97.186569,FALSE,FALSE,FALSE,0,1,1,2
A1309BFA-D5FE-4C6C-BF43-18033E984014,E4C6C8B7-78F6-42C6-BA34-6DBB27273401,1295 Pembina Hwy,1295 Pembina Hwy - Uncovered,"1296 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T 2B4,49.841284,-97.152857,FALSE,FALSE,FALSE,5,0,0,2
C6933604-DC75-4A9D-9B82-76CD3185FBE3,E42689AF-E9F7-4B68-AE38-91E40D32BAFB,130 Osborne St. ,130 Osborne St. - Uncovered,"130 Osborne Street, Winnipeg, MB, Canada, Winnipeg",R3L 1Y5,49.878166,-97.145185,FALSE,TRUE,FALSE,3,12,96,5
E167D5D0-3DC9-4993-9695-F59E899F213F,CD0A4B1D-6703-4F83-BC24-1C620D7B2ADF,130 Scott St.,Standard Uncovered,"130 Scott Street, Winnipeg, MB, Canada, Winnipeg",R3L 0K8,49.879354,-97.140755,FALSE,TRUE,FALSE,0,1,713,4
0BBFB1EB-8169-44FD-BAE1-BCC34F19C597,AEE02836-7C8C-4CB9-A41C-EA35F777259B,154 Evanson Street,154 Evanson St. - Lot Management,"154 Evanson Street, Winnipeg, MB, Canada, Winnipeg",R3G 1B4,49.881862,-97.170793,FALSE,FALSE,FALSE,0,0,0,5
483A7906-F9F1-4354-9558-7D3DA5F67281,304784C9-87DC-4FC1-9968-493526C07FF7,164 Dollard,164 Dollard Blvd. - Uncovered,"164 Dollard Boulevard, Winnipeg, MB, Canada, Winnipeg",R2H 0M2,49.884876,-97.121686,FALSE,FALSE,FALSE,1,0,0,1
DACE5092-183A-4738-933B-1BAD779E9726,80CEA3E9-0D7F-4905-A0C1-2C7AAB186FD8,1661 Portage - Visitor - Free 2 Hour Max ,1661 Portage - Visitor Free 2 Hour Max,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880488,-97.2034,FALSE,FALSE,FALSE,0,0,0,55
5F29816C-B089-43F0-9A80-B033CC8ADD7E,CE4DB0FD-042D-493E-87C4-17EC3ED9E2DA,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - Scramble Plug - Paid,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,1
5F29816C-B089-43F0-9A80-B033CC8ADD7E,215CF8D7-5DA3-46FE-9B22-FF39810AC751,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - Scramble no plug Paid,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,5
5F29816C-B089-43F0-9A80-B033CC8ADD7E,3BAD52EF-B425-4949-9875-3449B75451FE,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - Bioscript Bulk pay,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,1
5F29816C-B089-43F0-9A80-B033CC8ADD7E,3185FDC5-E9D1-4452-BB1D-5A9F3745DF19,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - CBCGA Bulk Pay,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,1
5F29816C-B089-43F0-9A80-B033CC8ADD7E,33DB321A-4E05-456D-AF00-031AD80849E5,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - Scramble No Plug - Paid,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,1
5F29816C-B089-43F0-9A80-B033CC8ADD7E,4AC13A9B-8282-4DD3-9796-B492C479D818,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - Doheny Securities Bulk pay,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,1
5F29816C-B089-43F0-9A80-B033CC8ADD7E,DF29297E-63B8-4793-82E3-17996E482788,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - Heartland Fertility Bulk pay,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,1
5F29816C-B089-43F0-9A80-B033CC8ADD7E,720FAD7B-DDD5-4811-BC69-9AA249B5429E,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - Portage Mutual Bulk pay,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,1
5F29816C-B089-43F0-9A80-B033CC8ADD7E,620FA094-27D2-4247-9A46-A160F8EFCF72,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - Hub International Bulk pay,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,1
5F29816C-B089-43F0-9A80-B033CC8ADD7E,8E8709F8-7EDE-4988-A4B0-B3CD8E955EA6,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - Scramble with plug Paid,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,24
5F29816C-B089-43F0-9A80-B033CC8ADD7E,AAB9B8D5-4F86-48C4-8CDD-6537B6A660E5,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - Staff max Bulk pay,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,13
5F29816C-B089-43F0-9A80-B033CC8ADD7E,1A424207-0F5E-49E0-A51E-03D6F11335DA,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage ave - CPSM Bulk pay,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,1
5F29816C-B089-43F0-9A80-B033CC8ADD7E,CD4F730D-5DCF-443B-88F0-9F0CA9C2322B,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - Executive Paid,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,4
5F29816C-B089-43F0-9A80-B033CC8ADD7E,09E747A2-DA59-44DE-A669-02027E79EB90,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - CCGA Bulk pay,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,1
5F29816C-B089-43F0-9A80-B033CC8ADD7E,114BD5BC-F455-493B-9D15-90B256DDB620,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - Reserved A Paid,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,5
5F29816C-B089-43F0-9A80-B033CC8ADD7E,AEC4ADF3-C13A-4671-85DF-56F7D252E091,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - Oral Surgery Centre Bulk pay,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,1
5F29816C-B089-43F0-9A80-B033CC8ADD7E,17228CE2-28A6-4616-A099-0A58B3483158,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - North Co Management Bulk pay,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,1
5F29816C-B089-43F0-9A80-B033CC8ADD7E,1B71B371-299C-44DF-AF82-A82BCBA474FA,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage Ave - Unpaid,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,226
5F29816C-B089-43F0-9A80-B033CC8ADD7E,875EDD70-2816-4C04-9222-8F3C38E868E8,1661 Portage Ave - Paid Daily + Monthly ,1661 Portage ave - Reserved B Paid,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,4
5F29816C-B089-43F0-9A80-B033CC8ADD7E,FEE9892B-5075-4B95-A0C2-44B4A767B065,1661 Portage Ave - Paid Daily + Monthly ,Visitor Parking - More than 2 hours ,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J 3T7,49.880489,-97.203401,FALSE,FALSE,FALSE,0,0,0,35
3AA6A563-396D-4775-9685-3B86BC28BD41,48F23AC6-001E-43E5-850A-EC1A549B1113,1681 Pembina Hwy,1681 Pembina Hwy - Uncovered,"1681 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T 2G6,49.8282,-97.152688,FALSE,TRUE,FALSE,0,5,27,7
0DB26AA1-5F80-4990-B5E4-DDEAF2128638,9156C333-CAD8-42E7-BCDB-09D601DF3CEF,1689 Pembina Hwy,1689 Pembina Hwy. - Uncovered,"1689 Pembina Hwy, Winnipeg, MB R3T 2G6, Canada, Winnipeg",R3T 2G6,49.827383,-97.154757,FALSE,TRUE,FALSE,4.5,14,171,7
FBFA242D-49A5-4CF0-8D9A-39F6C47EC86C,97CDA70C-932B-415C-B3B0-9AB18939E3A2,169 Provencher Blvd.,169 Provencher Blvd. - Uncovered,"169 Provencher Blvd, Winnipeg, MB, Canada, Winnipeg",R2H 0G2,49.892147,-97.122927,FALSE,FALSE,FALSE,2,0,0,4
E2FB5705-E6F3-4E5C-9D4E-38126D18BD9A,3FE30EDE-9385-4EE2-96B6-7637D57C0E29,1695 Pembina Hwy,1695 Pembina Hwy. - Uncovered,"1695 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T 2G6,49.826811,-97.154911,FALSE,FALSE,FALSE,0,0,0,6
1A1376FC-E3C8-4474-8A0B-EAF15B60414E,ECD02063-E279-47ED-8D50-4F43C53EC9D6,1697 Pembina Hwy,1697 Pembina Hwy - Uncovered,"1697 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T 2G6,49.826999,-97.15446,FALSE,FALSE,FALSE,0,0,0,5
D7230479-A2FB-4A41-A283-C74048A363BF,6086A2A0-3C1F-4742-B778-48FA6917CB44,1699 Pembina Hwy,1699 Pembina Hwy - Uncovered,"1699 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T 2G6,49.827303,-97.15344,FALSE,FALSE,FALSE,0,3,25,9
F89C7269-07FE-45A7-9234-CC465A87A737,E24A22F7-7E99-42CA-ACE0-CC418EB227EA,172 Edmonton St. ,172 Edmonton St. - Uncovered 24/7,"172 Edmonton Street, Winnipeg, MB, Canada, Winnipeg",R3C 1R3,49.888872,-97.145848,FALSE,FALSE,FALSE,0.5,14,84,4
F89C7269-07FE-45A7-9234-CC465A87A737,AC180CAB-686C-43D6-9C82-667219FCA34F,172 Edmonton St. ,172 Edmonton St. - Uncovered Evenings/Weekends,"172 Edmonton Street, Winnipeg, MB, Canada, Winnipeg",R3C 1R3,49.888872,-97.145848,FALSE,FALSE,FALSE,0.5,3,8,1
E8A04516-3756-417C-850B-A18211363EAD,24623CD5-EE21-4187-BFC4-2981F0A8C43A,176 Smith St. ,176 Smith St. - Monthly Available,"176 Smith Street, Winnipeg, MB, Canada, Winnipeg",R3C,49.890054,-97.140332,FALSE,FALSE,FALSE,0,0,0,2
E8A04516-3756-417C-850B-A18211363EAD,C6EBD46D-4EF4-474A-849C-12ED92870687,176 Smith St. ,176 Smith St. - 24/7,"176 Smith Street, Winnipeg, MB, Canada, Winnipeg",R3C,49.890054,-97.140332,FALSE,FALSE,FALSE,0,0,0,2
E8A04516-3756-417C-850B-A18211363EAD,0F120B28-268F-465F-92A5-C803854B0D30,176 Smith St. ,176 Smith St. - Evenings and Weekends,"176 Smith Street, Winnipeg, MB, Canada, Winnipeg",R3C,49.890054,-97.140332,FALSE,FALSE,FALSE,0,0,0,1
46132EF1-74ED-4DE9-8F57-DADD0CEC5D49,FA11B418-DF4E-460C-A52F-05A20D898E62,1777 St. Mary's Road,1777 St. Mary's Road - Lot Management,"1777 St Mary's Rd, Winnipeg, MB, Canada, Winnipeg",R2N 0L5,49.817324,-97.112425,FALSE,FALSE,FALSE,3.25,9,603,79
46132EF1-74ED-4DE9-8F57-DADD0CEC5D49,9D4CA52E-DA55-41B1-BE90-8CC78EC9F74D,1777 St. Mary's Road,1777 St. Mary's Road - Visitor Parking,"1777 St Mary's Rd, Winnipeg, MB, Canada, Winnipeg",R2N 0L5,49.817324,-97.112425,FALSE,TRUE,FALSE,3.25,71,1029,10
C59ADD5F-D2E6-4FBF-9F37-04D0F64A84AB,0E096A97-2EE7-4A3D-80BA-5AF71BCF987F,179 Langside Street,179 Langside Street - Uncovered,"179 Langside Street, Winnipeg, MB, Canada, Winnipeg",R3C 1Z6,49.88418,-97.156371,FALSE,FALSE,FALSE,5,1,242,2
0EDE0F26-36F2-4018-93FD-0E40D035A16E,178D7AFE-5F8B-47CE-A391-3B7BC4ED6142,1833 Pembina Highway,1833 Pembina Highway - Guest,"1833 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T 3X8,49.823337,-97.154146,TRUE,TRUE,FALSE,0,0,0,3
AA464245-387E-4887-A2AB-178845E265FA,8843D9F9-DD59-41F2-B9DC-577A532C74ED,1910 Pembina Hwy,1910 Pembina Highway - Guest Checkout,"1910 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T,49.822361,-97.150249,FALSE,FALSE,FALSE,4.17,0,0,1
AA464245-387E-4887-A2AB-178845E265FA,282247AE-B6A4-43E2-A223-A73F7CE5B3E5,1910 Pembina Hwy,1910 Pembina Highway - Uncovered,"1910 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T,49.822361,-97.150249,FALSE,FALSE,FALSE,4.17,1,713,3
65A20596-7D29-43D3-B868-F2713540C373,1A5558F0-C369-42F2-9B18-6BFD5C75BE5D,199 Langside St.,199 Langside Street - Uncovered,"199 Langside Street, Winnipeg, MB, Canada, Winnipeg",R3C 1Z6,49.884707,-97.156305,FALSE,TRUE,FALSE,0,6,43,1
5C06EA3F-624A-4388-865D-0F42B9D4A09F,F1A38E92-0329-4E9B-B6CE-4F288DF4432D,20 Lyndale Drive,20 Lyndale Drive - Uncovered | Hourly,"20 Lyndale Drive, Winnipeg, MB, Canada, Winnipeg",R2H 3H2,49.880883,-97.130631,FALSE,FALSE,FALSE,2.5,1,2,9
5C06EA3F-624A-4388-865D-0F42B9D4A09F,6BCB828A-2795-4E19-A0A2-1FE5EF633701,20 Lyndale Drive,20 Lyndale Drive - Uncovered | 24/7,"20 Lyndale Drive, Winnipeg, MB, Canada, Winnipeg",R2H 3H2,49.880883,-97.130631,FALSE,FALSE,FALSE,2.5,1,242,4
E35363AC-FC71-4EEC-A104-E04EABDE91B1,28634B9C-BCDD-461A-999C-EFA97425D336,200 Burning Glass Rd.,200 Burning Glass Rd. - Lot Management,"200 Burning Glass Rd, Winnipeg, MB, Canada, Winnipeg",R3X 0C4,49.837104,-97.048128,FALSE,FALSE,FALSE,0,0,0,438
E35363AC-FC71-4EEC-A104-E04EABDE91B1,CCF89CBC-6517-4A03-A5C1-FCAF1C02060E,200 Burning Glass Rd.,200 Burning Glass Rd. - Visitor Parking,"200 Burning Glass Rd, Winnipeg, MB, Canada, Winnipeg",R3X 0C4,49.837104,-97.048128,FALSE,FALSE,FALSE,0,0,0,64
52E6531F-D55A-40B9-94D0-F27E1655C0C0,EB79F0E4-D984-4F73-9B60-FA65D12C3F9F,201 Thomas Berry St. ,201 Thomas Berry St. - Uncovered,"201 Thomas Berry Street, Winnipeg, MB, Canada, Winnipeg",R2H 0P9,49.883528,-97.119489,FALSE,TRUE,FALSE,2.25,0,0,2
3894CE7E-83ED-4F0A-925D-6E77CA741780,5F9F63EF-236C-4DBD-AD6C-74E88C090064,203 Thomas Berry St. ,203 Thomas Berry St. - Uncovered,"203 Thomas Berry Street, Winnipeg, MB, Canada, Winnipeg",R2H 0P9,49.883571,-97.119354,FALSE,FALSE,FALSE,0,0,0,3
D1AD0212-EF71-4341-9DBE-89DD53CBF5F7,E01CAFB8-878E-46DE-85CF-11B9C65FF9CE,207 Carlton St. ,207 Carlton St. - Event Parking,"207 Carlton Street, Winnipeg, MB, Canada, Winnipeg",R3C 1P5,49.890452,-97.144332,FALSE,FALSE,FALSE,0,24,80,26
D1AD0212-EF71-4341-9DBE-89DD53CBF5F7,E83BD8C5-6F71-4D95-AF6C-F072E2EAC9A9,207 Carlton St. ,207 Carlton St. - Event Prebooking,"207 Carlton Street, Winnipeg, MB, Canada, Winnipeg",R3C 1P5,49.890452,-97.144332,FALSE,FALSE,FALSE,0,0,0,18
EA75CE0F-5354-4266-9ADE-6257CCA46CCA,E9BAA0EE-617F-486C-A97E-F9ACD9D1392A,207 Carlton St. - Monthly,207 Carlton St. - Secure Lot,"213 Carlton St, Winnipeg, MB, Canada, Winnipeg",R3C,49.890748,-97.144506,FALSE,FALSE,FALSE,3.7,83,4747,31
99739ADC-2385-4831-97B4-D04ACA59581A,E7BF9215-C036-413D-AA72-5E161F482864,210 Pacific Ave.,210 Pacific Ave - Park Mobile Scramble,"210 Pacific Avenue, Winnipeg, MB, Canada, Winnipeg",R3B 0M4,49.901234,-97.137543,FALSE,FALSE,FALSE,2,5,32,3
99739ADC-2385-4831-97B4-D04ACA59581A,BF94498E-EC33-42C4-BBEC-90C6FBE76EE6,210 Pacific Ave.,210 Pacific Ave - Evening/Weekend,"210 Pacific Avenue, Winnipeg, MB, Canada, Winnipeg",R3B 0M4,49.901234,-97.137543,FALSE,FALSE,FALSE,2,0,0,5
440C7C53-BAAD-484B-B9D1-0487A3C465A2,A3D1339E-7EF7-487B-A458-11152F32F6B2,210 Rue Masson,210 Rue Masson - Uncovered,"210 Rue Masson, Winnipeg, MB, Canada, Winnipeg",R2H 0H4,49.891195,-97.120443,FALSE,TRUE,FALSE,2.82,16,4523,24
DD7365AC-F517-4C4C-A7CF-B081D81E9116,91FAD031-1E56-4E41-A8A1-E83FFFD7EB0C,2211 McPhillips,2211 McPhillips - Uncovered,"2211 McPhillips Street, Winnipeg, MB, Canada, Winnipeg",R2V 3M5,49.950793,-97.148556,FALSE,FALSE,FALSE,0,2,13,2
F7730714-7EE5-4BF0-BAFC-0F5D2E020C1F,37DC449A-2F4B-4BD4-A408-FEA5A06DA4B7,225 Princess St. ,225 Princess St. - Uncovered,"225 Princess Street, Winnipeg, MB, Canada, Winnipeg",R3B 1L5,49.901664,-97.139308,FALSE,FALSE,FALSE,0,34,123,14
FA345B1D-FE95-462B-A739-8DBBB7B94565,32F058CA-DCF1-449E-AB23-FAD0AA84E259,226 Grassie Blvd.,226 Grassie Blvd. - Lot Management,"226 Grassie Boulevard, Winnipeg, MB, Canada, Winnipeg",R2G 2L6,49.922055,-97.052148,FALSE,FALSE,FALSE,0,0,0,11
8FE5AB0A-AE7F-4D2A-BA29-A5D8EC069BF5,0D568943-CEA9-4163-9776-FBFC6383B6B4,2295 Pembina Hwy.,2295 Pembina Hwy - Zone 1,"Markham Place, 2295 Pembina Hwy, Winnipeg, MB, Canada, Winnipeg",R3T 2H4,49.807998,-97.156284,TRUE,FALSE,FALSE,5,0,0,6
8FE5AB0A-AE7F-4D2A-BA29-A5D8EC069BF5,8485AE13-FEB0-4D74-B4F6-60DCE8421D50,2295 Pembina Hwy.,2295 Pembina Hwy - Uncovered,"Markham Place, 2295 Pembina Hwy, Winnipeg, MB, Canada, Winnipeg",R3T 2H4,49.807998,-97.156284,FALSE,FALSE,FALSE,5,1,20,36
2F133A1C-4447-4F54-9675-D3FFA6645794,3A8AE4A0-26A0-4F38-BAF0-54B4E1F0FC34,230 Osborne St,230 Osborne Street - Uncovered,"230 Osborne Street, Winnipeg, MB, Canada, Winnipeg",R3L 1Y8,49.875727,-97.140557,FALSE,FALSE,FALSE,0,4,62,2
01FB8DA8-DC7A-4ECB-8CCA-76AF07BE574D,FC6518F6-3DE4-4271-9E29-2A32D7E38F5D,2350 McGillivray Blvd.,The Ridge Apartments - Visitor Parking,"2350 McGillivray Boulevard, Winnipeg, MB, Canada, Winnipeg",R3Y 0A1,49.817478,-97.211204,FALSE,FALSE,FALSE,5,100,847,8
4E0D1DBC-66BB-4B3C-894E-08AACEE8AE76,C2FCF881-DDCB-4391-9425-21073E8EA5DB,24 Poulin Dr. ,24 Poulin Drive - Uncovered ,"24 Poulin Drive, Winnipeg, MB, Canada, Winnipeg",R2H 0S9,49.881218,-97.128794,FALSE,FALSE,FALSE,2.83,47,1671,5
62B9025C-A5F7-439E-80C0-53DE4F8A2A2A,45903DC1-C22E-4E4D-8502-C5ECA30AC164,246 Lilac St.,246 Lilac Street - Uncovered,"246 Lilac Street, Winnipeg, MB, Canada, Winnipeg",R3M 2S2,49.869665,-97.1575,FALSE,FALSE,FALSE,0,2,4,10
62B9025C-A5F7-439E-80C0-53DE4F8A2A2A,9D91FF50-0FC5-4385-BD48-678E29701E8E,246 Lilac St.,246 Lilac Street - Uncovered,"246 Lilac Street, Winnipeg, MB, Canada, Winnipeg",R3M 2S2,49.869665,-97.1575,FALSE,FALSE,FALSE,0,0,0,10
03218118-3295-40C8-B109-8AFB7446B0A1,EDD0F596-68A0-4203-B7E6-05C00F1C6CF3,250 Thomas Berry St.,250 Thomas Berry Street - Uncovered,"250 Thomas Berry Street, Winnipeg, MB, Canada, Winnipeg",R2H 0R3,49.883313,-97.116805,FALSE,TRUE,FALSE,0,0,0,4
6F3A432B-6306-40B4-B479-7DC60F807BA9,40E08255-DF2E-4F74-A92D-B82857E644DD,275 Stradbrook Ave,275 Stradbrook Avenue | Uncovered - Guest Checkout,"275 Stradbrook Avenue, Winnipeg, MB, Canada, Winnipeg",R3L 0J5,49.880209,-97.138301,FALSE,FALSE,FALSE,3.38,1,713,8
